"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","Fan_1","Fan_2"
"2018-07-05 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 05:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 05:40:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 06:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 07:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 08:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 08:40:22","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 09:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 10:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 10:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 11:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 12:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 12:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 13:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 13:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 14:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 14:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 15:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 15:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 16:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 16:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 17:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 17:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 18:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 18:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 19:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 19:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 20:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 20:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 21:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 23:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-05 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 01:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
